2018-12-13 14:53:12,834 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:12,930 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,029 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,121 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,224 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,328 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,421 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,515 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,717 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,815 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:13,903 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,004 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,103 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,209 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,312 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,412 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,510 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,616 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,720 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,817 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:14,914 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,014 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,110 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,216 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,330 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,419 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,542 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,654 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,756 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,851 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
2018-12-13 14:53:15,944 [8] Log_Level-ERROR, File-FolderWatcher.cs, Function-FolderSizeWatcher, - The binary folder Packets has reached size limit
