2018-12-13 11:09:41,035 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-56-54.mog log file started his parsing process
2018-12-13 11:09:41,078 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-56-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:41,097 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-57-54.mog log file started his parsing process
2018-12-13 11:09:41,155 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-57-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:41,185 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-58-54.mog log file started his parsing process
2018-12-13 11:09:41,230 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-Parse, - 13-12-18--10-58-54.mog log file has successfuly finished his parsing process
2018-12-13 11:09:41,257 Thread number[5] Log_Level-DEBUG, File-ParsingBinaryFile.cs, Function-ParseFolder, - Multieventfolder finished his parsing process
2018-12-13 11:09:41,257 Thread number[5] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Json serialazation for Multievent files started
2018-12-13 11:09:42,033 Thread number[5] Log_Level-DEBUG, File-GZipCompresstion.cs, Function-CompressString, - starting GZip compression before sending data to server
2018-12-13 11:09:42,156 Thread number[5] Log_Level-DEBUG, File-GZipCompresstion.cs, Function-CompressString, - GZip compression prccess ended successfully
2018-12-13 11:09:43,165 Thread number[12] Log_Level-DEBUG, File-ServerConnection.cs, Function-MoveNext, - server response OK
2018-12-13 11:09:43,165 Thread number[12] Log_Level-DEBUG, File-ServerConnection.cs, Function-MoveNext, - sending process ended
2018-12-13 11:09:43,166 Thread number[5] Log_Level-INFO, File-LogSender.cs, Function-MoveNext, - Log sender sent 25 files to the server and the server recived them
2018-12-13 11:09:43,167 Thread number[5] Log_Level-DEBUG, File-LogSender.cs, Function-MoveNext, - Begin deleteing the files that was sent to the server
2018-12-13 11:09:43,167 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - starting delete files process
2018-12-13 11:09:43,184 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-33-54.mog file has deleted
2018-12-13 11:09:43,190 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-34-54.mog file has deleted
2018-12-13 11:09:43,198 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-35-54.mog file has deleted
2018-12-13 11:09:43,205 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-36-54.mog file has deleted
2018-12-13 11:09:43,212 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-37-54.mog file has deleted
2018-12-13 11:09:43,217 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-38-54.mog file has deleted
2018-12-13 11:09:43,226 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-39-54.mog file has deleted
2018-12-13 11:09:43,232 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-40-54.mog file has deleted
2018-12-13 11:09:43,237 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-41-54.mog file has deleted
2018-12-13 11:09:43,243 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-42-54.mog file has deleted
2018-12-13 11:09:43,244 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-43-54.mog file has deleted
2018-12-13 11:09:43,245 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-44-54.mog file has deleted
2018-12-13 11:09:43,245 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-45-54.mog file has deleted
2018-12-13 11:09:43,246 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-46-54.mog file has deleted
2018-12-13 11:09:43,247 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-47-54.mog file has deleted
2018-12-13 11:09:43,248 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-48-54.mog file has deleted
2018-12-13 11:09:43,249 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-49-54.mog file has deleted
2018-12-13 11:09:43,251 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-50-54.mog file has deleted
2018-12-13 11:09:43,252 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-51-54.mog file has deleted
2018-12-13 11:09:43,253 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-52-54.mog file has deleted
2018-12-13 11:09:43,254 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-53-54.mog file has deleted
2018-12-13 11:09:43,256 Thread number[5] Log_Level-DEBUG, File-FileMaintenance.cs, Function-FileDelete, - 13-12-18--10-54-54.mog file has deleted
